range,range_bounds,model,actual_count,predicted_count,correct_count,recall,precision,bias,bias_pct
low,1-13,lgbm,1640,8388,1583,0.9652439024390244,0.18872198378636146,6748,411.4634146341463
low,1-13,settransformer,1640,6686,1640,1.0,0.2452886628776548,5046,307.6829268292683
low,1-13,gnn,1640,6384,1640,1.0,0.2568922305764411,4744,289.2682926829268
mid,14-26,lgbm,1651,7180,1612,0.9763779527559056,0.2245125348189415,5529,334.8879466989703
mid,14-26,settransformer,1651,7025,1651,1.0,0.23501779359430605,5374,325.49969715324045
mid,14-26,gnn,1651,6628,1651,1.0,0.24909474954737476,4977,301.4536644457904
high,27-39,lgbm,1709,4432,1599,0.9356348741954359,0.3607851985559567,2723,159.33294324166178
high,27-39,settransformer,1709,6289,1709,1.0,0.2717443154714581,4580,267.9929783499122
high,27-39,gnn,1709,6988,1709,1.0,0.24456210646823126,5279,308.8940901111761
