imputation_method,model_type,range,range_bounds,actual_count,predicted_count,correct_count,recall,bias,bias_pct
angle_encoding,lgbm,low,1-13,1640,8388,1583,0.9652439024390244,6748,411.4634146341463
angle_encoding,lgbm,mid,14-26,1651,7180,1612,0.9763779527559056,5529,334.8879466989703
angle_encoding,lgbm,high,27-39,1709,4432,1599,0.9356348741954359,2723,159.33294324166178
angle_encoding,settransformer,low,1-13,1640,6686,1640,1.0,5046,307.6829268292683
angle_encoding,settransformer,mid,14-26,1651,7025,1651,1.0,5374,325.49969715324045
angle_encoding,settransformer,high,27-39,1709,6289,1709,1.0,4580,267.9929783499122
angle_encoding,gnn,low,1-13,1640,6384,1640,1.0,4744,289.2682926829268
angle_encoding,gnn,mid,14-26,1651,6628,1651,1.0,4977,301.4536644457904
angle_encoding,gnn,high,27-39,1709,6988,1709,1.0,5279,308.8940901111761
amplitude_embedding,lgbm,low,1-13,1639,2097,285,0.17388651616839537,458,27.943868212324592
amplitude_embedding,lgbm,mid,14-26,1649,9689,1213,0.7355973317161917,8040,487.5682231655549
amplitude_embedding,lgbm,high,27-39,1707,8194,1050,0.6151142355008787,6487,380.0234329232572
amplitude_embedding,settransformer,low,1-13,1639,6750,878,0.5356924954240391,5111,311.836485661989
amplitude_embedding,settransformer,mid,14-26,1649,6923,875,0.5306246209824136,5274,319.83020012128566
amplitude_embedding,settransformer,high,27-39,1707,6307,797,0.46690099589923845,4600,269.47861745752783
amplitude_embedding,gnn,low,1-13,1639,6958,899,0.5485051860890787,5319,324.5271507016474
amplitude_embedding,gnn,mid,14-26,1649,6521,801,0.48574893875075803,4872,295.4517889630079
amplitude_embedding,gnn,high,27-39,1707,6501,846,0.4956063268892794,4794,280.84358523725837
density_matrix,lgbm,low,1-13,1640,2097,1640,1.0,457,27.865853658536587
density_matrix,lgbm,mid,14-26,1651,9699,1651,1.0,8048,487.4621441550575
density_matrix,lgbm,high,27-39,1709,8204,1709,1.0,6495,380.04681100058514
density_matrix,settransformer,low,1-13,1640,6519,1640,1.0,4879,297.5
density_matrix,settransformer,mid,14-26,1651,6677,1651,1.0,5026,304.4215626892792
density_matrix,settransformer,high,27-39,1709,6804,1709,1.0,5095,298.1275599765945
density_matrix,gnn,low,1-13,1640,6336,1640,1.0,4696,286.3414634146341
density_matrix,gnn,mid,14-26,1651,6688,1651,1.0,5037,305.08782556026654
density_matrix,gnn,high,27-39,1709,6976,1709,1.0,5267,308.19192510239907
